tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label,best_tile_localization,best_Localization_value
"(17, 58)",-75.0,-57.0,-55.0,-80.0,-78.0,-74.0,-42.0,-63.0,-73.0,2948,"(10, 68)",-25.047149842770168
"(17, 58)",-62.0,-52.0,-64.0,,-72.0,-74.0,-41.0,-68.0,-71.0,2948,"(10, 50)",-20.19363268716658
"(17, 58)",-72.0,-57.0,-55.0,-63.0,,-76.0,-58.0,-53.0,-72.0,2948,"(10, 76)",-17.937776008655266
"(17, 58)",-75.0,-64.0,,,-77.0,-74.0,,-54.0,-69.0,2948,"(13, 33)",-24.608106311562437
"(17, 58)",,-57.0,-55.0,-63.0,,-73.0,-55.0,-55.0,-70.0,2948,"(9, 89)",-16.290927363088468
"(17, 58)",-64.0,-57.0,-53.0,,,,-58.0,-52.0,-73.0,2948,"(11, 75)",-13.643355619004291
"(17, 58)",-74.0,-61.0,-54.0,-62.0,-79.0,-75.0,-59.0,-52.0,-74.0,2948,"(12, 75)",-20.887802759149302
"(17, 58)",-66.0,-52.0,-55.0,-77.0,-75.0,-68.0,-43.0,-67.0,-69.0,2948,"(13, 52)",-19.34000082235616
"(17, 58)",-71.0,-57.0,-66.0,-56.0,,-78.0,-63.0,-51.0,-75.0,2948,"(6, 90)",-19.65634282624787
"(17, 58)",-73.0,,-67.0,-59.0,-80.0,-73.0,-63.0,,-77.0,2948,"(11, 68)",-26.868061700273426
"(17, 58)",-64.0,-53.0,-65.0,-71.0,-71.0,,-62.0,-67.0,-78.0,2948,"(12, 67)",-20.945040144642057
"(17, 58)",-63.0,-49.0,-61.0,,-62.0,-70.0,-49.0,-65.0,-80.0,2948,"(14, 32)",-17.798180558207036
"(17, 58)",,-65.0,-60.0,-60.0,,,-49.0,-52.0,-75.0,2948,"(9, 91)",-16.757893811111387
"(17, 58)",-73.0,,-55.0,-61.0,-85.0,-79.0,-55.0,-53.0,-70.0,2948,"(8, 91)",-23.871831209395356
"(17, 58)",,,-58.0,,-78.0,-78.0,-52.0,,,2948,"(13, 66)",-30.811246754668176
"(17, 58)",-63.0,-54.0,-58.0,,-69.0,-75.0,-44.0,-62.0,-70.0,2948,"(10, 50)",-17.298047777665545
"(17, 58)",-73.0,-63.0,-58.0,,,-82.0,-50.0,-55.0,-73.0,2948,"(10, 68)",-23.163366102707343
"(17, 58)",,,-62.0,,-79.0,,-41.0,-52.0,-73.0,2948,"(10, 68)",-22.76069569600999
"(17, 58)",-62.0,-54.0,-51.0,-70.0,-84.0,-71.0,-52.0,-56.0,-74.0,2948,"(10, 68)",-18.285272929894216
"(17, 58)",,-57.0,-58.0,,-69.0,,-42.0,,-75.0,2948,"(13, 52)",-18.343766787018588
"(17, 58)",-76.0,-57.0,-57.0,,-80.0,-75.0,-57.0,-56.0,-69.0,2948,"(12, 67)",-21.93976746194874
"(17, 58)",-54.0,-48.0,-59.0,-78.0,-74.0,-66.0,-50.0,-60.0,-76.0,2948,"(14, 32)",-16.66480235072024
"(17, 58)",-65.0,-59.0,-49.0,-69.0,-81.0,-75.0,-47.0,,-71.0,2948,"(13, 52)",-20.61855629300307
"(17, 58)",,-57.0,-68.0,,-62.0,-64.0,-43.0,,-74.0,2948,"(10, 50)",-19.39471416686925
"(17, 58)",,-50.0,,-80.0,-68.0,-68.0,,-59.0,,2948,"(13, 31)",-22.519297361375557
"(17, 58)",-62.0,-60.0,-58.0,-82.0,-66.0,-70.0,-50.0,-56.0,-69.0,2948,"(11, 67)",-17.848145183071136
"(17, 58)",-62.0,-52.0,-66.0,,-66.0,-63.0,-47.0,,-81.0,2948,"(12, 30)",-19.95701210511113
"(17, 58)",,,,,,,-58.0,-54.0,-69.0,2948,"(5, 90)",-20.518858332614272
"(17, 58)",-65.0,-58.0,-52.0,-71.0,-78.0,-71.0,-48.0,-56.0,-72.0,2948,"(10, 68)",-18.36711178919514
"(17, 58)",-53.0,-61.0,-65.0,-77.0,-71.0,,-53.0,,-86.0,2948,"(10, 50)",-23.149290934981053
"(17, 58)",-57.0,,-67.0,-79.0,-74.0,-66.0,-60.0,,,2948,"(10, 36)",-24.005937992504766
"(17, 58)",-54.0,-51.0,-57.0,-77.0,-68.0,,-61.0,-61.0,-77.0,2948,"(12, 69)",-16.213272969297194
"(17, 58)",-70.0,,-54.0,-67.0,-77.0,,-51.0,-56.0,,2948,"(10, 68)",-18.224434413958203
"(17, 58)",-53.0,,,,-72.0,-67.0,-51.0,-74.0,,2948,"(16, 12)",-20.757189948797084
"(17, 58)",-65.0,,,,-64.0,-68.0,-46.0,-69.0,-77.0,2948,"(8, 50)",-22.28242510421992
"(17, 58)",,-51.0,-68.0,-74.0,,,,-67.0,-80.0,2948,"(14, 95)",-25.9453201535379
"(17, 58)",,-54.0,-69.0,-77.0,-77.0,-69.0,,-62.0,-79.0,2948,"(14, 32)",-26.056508151467625
"(17, 58)",,,-65.0,-73.0,-66.0,,-66.0,-63.0,-74.0,2948,"(8, 90)",-26.142102963105362
"(17, 58)",-64.0,-61.0,-59.0,,-72.0,-67.0,-39.0,-61.0,-72.0,2948,"(10, 50)",-18.54458249777101
"(17, 58)",,-61.0,-61.0,,-76.0,-72.0,-46.0,-59.0,,2948,"(10, 50)",-21.59200838935932
"(17, 58)",-54.0,-49.0,-65.0,,-75.0,-74.0,-46.0,,-83.0,2948,"(14, 32)",-22.398015120947083
"(17, 58)",,,,,-71.0,-69.0,,-59.0,,2948,"(6, 33)",-21.616696703605204
"(17, 58)",-73.0,-60.0,-63.0,-59.0,-80.0,-75.0,-54.0,-52.0,-72.0,2948,"(10, 68)",-20.17332581814375
"(17, 58)",-63.0,,-61.0,,-75.0,-62.0,-63.0,,,2948,"(11, 30)",-22.92627398197046
"(17, 58)",-63.0,-61.0,,,,-73.0,,-59.0,,2948,"(15, 14)",-21.18074385061613
"(17, 58)",-68.0,-59.0,-56.0,,-82.0,-78.0,-51.0,-48.0,-69.0,2948,"(10, 68)",-19.633701443812203
"(17, 58)",-61.0,-62.0,-54.0,-69.0,,-71.0,-45.0,-57.0,-73.0,2948,"(10, 68)",-16.415067953049185
"(17, 58)",,-57.0,-69.0,-78.0,-84.0,-79.0,-41.0,-58.0,-73.0,2948,"(10, 68)",-28.21125823550702
"(17, 58)",,-52.0,-62.0,,,,,,-78.0,2948,"(16, 72)",-19.43620024080605
"(17, 58)",-75.0,-61.0,-62.0,-70.0,-75.0,,-50.0,,-74.0,2948,"(13, 66)",-23.922914722625517
"(17, 58)",-72.0,-63.0,-64.0,,,-77.0,-41.0,-61.0,-77.0,2948,"(10, 68)",-25.35717227849426
"(17, 58)",-67.0,-56.0,-62.0,,-70.0,-63.0,-59.0,-69.0,-81.0,2948,"(14, 32)",-22.87397033612059
"(17, 58)",-61.0,-61.0,,-80.0,-65.0,-67.0,-54.0,-67.0,-76.0,2948,"(11, 34)",-21.94985725373115
"(17, 58)",,-48.0,,,-71.0,-69.0,-56.0,-66.0,,2948,"(14, 32)",-22.022044906202737
"(17, 58)",,-57.0,-64.0,-58.0,,-79.0,-63.0,-54.0,-74.0,2948,"(8, 91)",-20.668571409011264
"(17, 58)",-71.0,,-58.0,,-75.0,-71.0,-41.0,-70.0,-72.0,2948,"(10, 68)",-25.328623844679935
"(17, 58)",-66.0,,-53.0,,-74.0,-72.0,-52.0,-57.0,-79.0,2948,"(10, 68)",-21.52183312186895
"(17, 58)",-69.0,-58.0,-60.0,-60.0,-84.0,-75.0,-55.0,-56.0,-74.0,2948,"(10, 68)",-20.71242344872357
"(17, 58)",,-53.0,-53.0,-77.0,,,-57.0,-50.0,-78.0,2948,"(10, 92)",-19.31760898290538
"(17, 58)",-53.0,-52.0,-60.0,,-68.0,,-50.0,-60.0,-78.0,2948,"(12, 51)",-13.008885293675744
"(17, 58)",,-54.0,,,,,-45.0,-69.0,,2948,"(10, 50)",-15.304885494765987
"(17, 58)",,-56.0,,-79.0,,-74.0,,-59.0,,2948,"(17, 33)",-22.631974783627324
"(17, 58)",-68.0,,-69.0,,-73.0,-76.0,-43.0,-59.0,-80.0,2948,"(10, 68)",-26.995149176575893
"(17, 58)",-68.0,-54.0,,-68.0,-78.0,-74.0,-59.0,-57.0,-74.0,2948,"(14, 32)",-21.148484762953274
"(17, 58)",,-55.0,-60.0,-81.0,-69.0,-70.0,,-59.0,-70.0,2948,"(8, 88)",-20.782146554281717
"(17, 58)",,-60.0,-60.0,-62.0,,,-55.0,-61.0,-72.0,2948,"(9, 89)",-18.052696604862195
"(17, 58)",,-48.0,-58.0,-78.0,-75.0,-66.0,-47.0,-68.0,-76.0,2948,"(10, 68)",-21.60358025654272
"(17, 58)",-63.0,-53.0,-58.0,,-66.0,,-52.0,-57.0,-77.0,2948,"(12, 51)",-14.009098881770234
"(17, 58)",-54.0,-60.0,-60.0,,-66.0,-68.0,-54.0,-64.0,,2948,"(13, 32)",-15.989676616652064
"(17, 58)",-69.0,,-61.0,-78.0,-75.0,-73.0,-41.0,-67.0,-75.0,2948,"(10, 68)",-27.376245643266632
"(17, 58)",,-63.0,-52.0,-73.0,,-74.0,-47.0,,-64.0,2948,"(10, 68)",-19.487065734892916
"(17, 58)",-64.0,-54.0,-64.0,-79.0,-74.0,-68.0,,,-75.0,2948,"(13, 31)",-26.075711584559446
"(17, 58)",-62.0,-62.0,-61.0,-82.0,-64.0,-69.0,-49.0,-61.0,-72.0,2948,"(10, 50)",-19.908433208101002
"(17, 58)",-70.0,-55.0,-55.0,-64.0,-75.0,-69.0,-50.0,-56.0,-73.0,2948,"(10, 68)",-16.910809353451423
"(17, 58)",,,-59.0,-84.0,-71.0,,-47.0,-62.0,-71.0,2948,"(10, 68)",-26.117952283529746
"(17, 58)",-64.0,-53.0,,,,-66.0,-43.0,-65.0,,2948,"(10, 50)",-15.518429684111828
"(17, 58)",-53.0,-53.0,-60.0,,-66.0,-74.0,-52.0,,-84.0,2948,"(14, 32)",-20.252823237469304
"(17, 58)",-57.0,,-70.0,,-65.0,,,-60.0,-70.0,2948,"(6, 89)",-16.320189769945298
"(17, 58)",-64.0,,-53.0,-70.0,-83.0,,-52.0,-61.0,-72.0,2948,"(8, 80)",-21.93931579064608
"(17, 58)",-63.0,,-62.0,,-73.0,-69.0,-54.0,,,2948,"(10, 50)",-22.27560837432364
"(17, 58)",-75.0,-61.0,-54.0,,-75.0,-73.0,-40.0,-61.0,-70.0,2948,"(13, 66)",-21.61796174493486
"(17, 58)",-54.0,-56.0,-63.0,-82.0,-71.0,-66.0,-54.0,-69.0,-76.0,2948,"(10, 50)",-21.08037689366107
"(17, 58)",-70.0,-64.0,-50.0,,-75.0,,,-64.0,-74.0,2948,"(12, 75)",-22.345182039769703
"(17, 58)",-69.0,-65.0,-53.0,,-77.0,-70.0,-56.0,-59.0,-75.0,2948,"(14, 74)",-21.448027499891055
"(17, 58)",,-54.0,-69.0,-72.0,-69.0,-67.0,-50.0,-62.0,-76.0,2948,"(10, 68)",-20.813401317514977
"(17, 58)",-58.0,-52.0,,,-63.0,-69.0,-55.0,,-78.0,2948,"(14, 15)",-21.672378021315613
"(17, 58)",-65.0,,-65.0,-76.0,,-64.0,-51.0,-62.0,-73.0,2948,"(10, 68)",-21.928603133735617
"(17, 58)",-74.0,,-57.0,,-73.0,-74.0,,-56.0,-70.0,2948,"(8, 91)",-23.272285891944826
"(17, 58)",-68.0,-63.0,-49.0,-70.0,-82.0,-74.0,-62.0,-61.0,-80.0,2948,"(12, 75)",-25.42989334594969
"(17, 58)",,-52.0,,,,,-50.0,-62.0,-78.0,2948,"(9, 68)",-16.71688564063699
"(17, 58)",-71.0,-65.0,-60.0,-69.0,-86.0,-70.0,-62.0,-59.0,-83.0,2948,"(12, 75)",-26.68811411171621
"(17, 58)",-62.0,,-64.0,-75.0,,,-43.0,-64.0,-78.0,2948,"(10, 68)",-23.96514499487918
"(17, 58)",-70.0,-59.0,-58.0,,-76.0,,-43.0,-71.0,-74.0,2948,"(13, 66)",-22.95864708537282
"(17, 58)",-53.0,-55.0,,-75.0,-69.0,-67.0,-50.0,,,2948,"(15, 14)",-18.8181475121774
"(17, 58)",-59.0,-55.0,-63.0,-82.0,-69.0,,-48.0,-70.0,-77.0,2948,"(13, 52)",-21.564448838456062
"(17, 58)",-72.0,-59.0,-59.0,-59.0,-81.0,-74.0,-56.0,,,2948,"(10, 50)",-21.937182768569823
"(17, 58)",-64.0,-60.0,-52.0,-73.0,-83.0,-72.0,-61.0,-58.0,,2948,"(14, 74)",-21.07078037709362
"(17, 58)",-65.0,-55.0,-55.0,,-82.0,,-59.0,-53.0,,2948,"(12, 67)",-16.128556261525876
"(17, 58)",-74.0,-62.0,-55.0,-74.0,-80.0,,-61.0,-63.0,-66.0,2948,"(11, 76)",-23.487897500285165
"(17, 58)",-76.0,-64.0,-57.0,,-83.0,-78.0,-47.0,,-69.0,2948,"(10, 50)",-28.614323019560725
"(17, 58)",,,,,-70.0,,-48.0,-60.0,-74.0,2948,"(4, 68)",-21.278409196206553
"(17, 58)",-62.0,-51.0,-62.0,-82.0,-73.0,-73.0,-53.0,,-80.0,2948,"(14, 32)",-25.230532180330226
"(17, 58)",,,-52.0,,,,-51.0,-59.0,-72.0,2948,"(8, 87)",-19.6062024197511
"(17, 58)",-74.0,-62.0,-60.0,-56.0,-84.0,-76.0,-65.0,-51.0,-72.0,2948,"(8, 91)",-22.633119498452956
"(17, 58)",-70.0,-56.0,-61.0,-78.0,-81.0,-72.0,-42.0,-68.0,,2948,"(10, 50)",-25.77990419817306
"(17, 58)",-68.0,-61.0,-51.0,,,,-57.0,-59.0,-82.0,2948,"(12, 75)",-20.32232364729808
"(17, 58)",-67.0,-62.0,-61.0,-58.0,-83.0,,-54.0,,-70.0,2948,"(13, 66)",-19.27041642639107
"(17, 58)",-69.0,-60.0,-63.0,-57.0,-78.0,-77.0,-55.0,,-68.0,2948,"(13, 52)",-20.489845341912638
"(17, 58)",-77.0,,-64.0,-72.0,-86.0,,-43.0,-56.0,-72.0,2948,"(10, 68)",-27.914759557854868
"(17, 58)",,,-70.0,,-74.0,-75.0,-42.0,,-78.0,2948,"(11, 59)",-32.83287489894839
"(17, 58)",,-48.0,-58.0,,-70.0,-71.0,-51.0,-60.0,-73.0,2948,"(11, 51)",-16.267221158239284
"(17, 58)",-68.0,-65.0,-74.0,,-76.0,,-52.0,-66.0,-79.0,2948,"(13, 52)",-27.821199129202437
"(17, 58)",-68.0,-59.0,-65.0,-79.0,-73.0,-69.0,-47.0,-61.0,-75.0,2948,"(10, 50)",-23.286981816519578
"(17, 58)",,-56.0,,,-75.0,-71.0,-45.0,,,2948,"(10, 50)",-25.519569844822453
"(17, 58)",-70.0,,-55.0,-61.0,,-80.0,-56.0,-50.0,-74.0,2948,"(10, 92)",-21.435899593519128
"(17, 58)",-65.0,-55.0,,-70.0,-76.0,,-49.0,-57.0,-74.0,2948,"(10, 50)",-17.25436213646297
"(17, 58)",-66.0,-55.0,,-77.0,-68.0,-63.0,-52.0,-62.0,,2948,"(12, 31)",-19.230433994563914
"(17, 58)",-70.0,-64.0,-56.0,-62.0,,,-52.0,-51.0,-85.0,2948,"(8, 91)",-18.76034720114821
"(17, 58)",,,-68.0,,,,-47.0,-60.0,-78.0,2948,"(10, 68)",-27.9262497295944
"(17, 58)",-74.0,-64.0,-57.0,-75.0,-83.0,-78.0,-47.0,-57.0,-71.0,2948,"(10, 68)",-25.883397740562256
"(17, 58)",,-57.0,-54.0,,,,-40.0,,-71.0,2948,"(10, 68)",-14.53155139809241
"(17, 58)",-52.0,-49.0,-58.0,,-70.0,-68.0,-43.0,-68.0,-81.0,2948,"(10, 50)",-16.774177079191343
"(17, 58)",,,-53.0,-71.0,,,-52.0,-69.0,-74.0,2948,"(10, 90)",-25.91738490192543
"(17, 58)",-67.0,-61.0,-47.0,-66.0,-79.0,-74.0,-51.0,-53.0,-70.0,2948,"(12, 75)",-17.998362349087024
"(17, 58)",,-67.0,-60.0,-69.0,-77.0,-71.0,-54.0,-58.0,-79.0,2948,"(10, 68)",-24.486973051108063
"(17, 58)",-62.0,-55.0,-68.0,,,,-49.0,-63.0,-82.0,2948,"(13, 66)",-20.119900228441196
"(17, 58)",-73.0,,-55.0,,,-72.0,-58.0,-55.0,-61.0,2948,"(8, 79)",-18.422991276333978
"(17, 58)",-52.0,-51.0,-56.0,,-69.0,-71.0,-48.0,-64.0,-80.0,2948,"(10, 50)",-15.899534709948954
"(17, 58)",-72.0,-68.0,-63.0,-73.0,-82.0,-71.0,-56.0,-53.0,-65.0,2948,"(10, 68)",-22.9838460346368
"(17, 58)",-73.0,-58.0,-58.0,-71.0,-78.0,,-41.0,-54.0,-77.0,2948,"(10, 68)",-21.11476837814663
"(17, 58)",,-63.0,,-66.0,,,,,-76.0,2948,"(15, 111)",-24.09288468769674
"(17, 58)",,-60.0,-54.0,-73.0,-76.0,-77.0,-59.0,-57.0,-71.0,2948,"(10, 77)",-22.787946599361685
"(17, 58)",-61.0,-57.0,-61.0,-69.0,-74.0,-79.0,-46.0,,-79.0,2948,"(10, 50)",-23.09872801711815
"(17, 58)",-63.0,-51.0,-67.0,-76.0,-65.0,-64.0,-47.0,-64.0,-82.0,2948,"(10, 50)",-20.122708971032566
"(17, 58)",-66.0,-53.0,,,-73.0,-64.0,-49.0,-59.0,-77.0,2948,"(13, 31)",-18.939595874049736
"(17, 58)",,-60.0,-59.0,-56.0,,,-60.0,-54.0,-72.0,2948,"(9, 91)",-16.367071550952584
"(17, 58)",,,-52.0,-72.0,,,-62.0,-58.0,,2948,"(10, 90)",-24.209740507033302
"(17, 58)",-68.0,-56.0,,,-76.0,,-50.0,-60.0,-74.0,2948,"(10, 50)",-19.763029972728503
"(17, 58)",-66.0,-61.0,-59.0,-81.0,-74.0,-64.0,-44.0,-61.0,-74.0,2948,"(10, 50)",-21.61408611249973
"(17, 58)",,-61.0,-53.0,-73.0,-80.0,,-60.0,-64.0,,2948,"(12, 75)",-23.681230425957647
"(17, 58)",-52.0,-50.0,-58.0,,-72.0,,-43.0,,-80.0,2948,"(10, 50)",-14.320943714394634
"(17, 58)",-63.0,-52.0,,,-64.0,-68.0,-49.0,,,2948,"(14, 15)",-19.884687581873163
"(17, 58)",,-46.0,-64.0,-76.0,-64.0,,-46.0,-71.0,-78.0,2948,"(10, 68)",-20.21524002038428
"(17, 58)",-76.0,-64.0,,,-83.0,-81.0,,,-71.0,2948,"(22, 22)",-38.093948670219945
"(17, 58)",-63.0,-53.0,-64.0,-81.0,-65.0,-66.0,-48.0,-65.0,-78.0,2948,"(10, 50)",-20.736000879916755
"(17, 58)",-53.0,-55.0,-60.0,,-68.0,-76.0,-47.0,-63.0,-76.0,2948,"(10, 50)",-17.340858291572044
"(17, 58)",-51.0,-55.0,,-79.0,-66.0,-66.0,-50.0,-64.0,-78.0,2948,"(12, 31)",-18.196801125231804
"(17, 58)",-53.0,-54.0,-63.0,,-68.0,,-47.0,-67.0,-76.0,2948,"(10, 50)",-15.246078344565566
"(17, 58)",-64.0,-63.0,-71.0,,-66.0,-60.0,,-66.0,-80.0,2948,"(11, 30)",-24.00805322896371
"(17, 58)",,-61.0,-67.0,-82.0,-65.0,-64.0,-47.0,-64.0,-80.0,2948,"(10, 50)",-24.316893994079663
"(17, 58)",,,-55.0,-59.0,-80.0,-69.0,-59.0,-49.0,-76.0,2948,"(10, 92)",-22.01250120697385
"(17, 58)",,-66.0,-64.0,-72.0,,,,-51.0,-75.0,2948,"(13, 96)",-27.67434976262242
"(17, 58)",,-46.0,-64.0,-79.0,,,-44.0,-65.0,-81.0,2948,"(10, 68)",-22.953155741487116
"(17, 58)",-60.0,-50.0,-61.0,,-66.0,-67.0,-44.0,-59.0,-76.0,2948,"(10, 50)",-14.872479326875844
"(17, 58)",,-60.0,-54.0,-77.0,-74.0,,-57.0,-64.0,-74.0,2948,"(10, 77)",-23.358440162749215
"(17, 58)",-74.0,-59.0,-63.0,,-75.0,,,-60.0,-80.0,2948,"(12, 72)",-23.900647076755067
"(17, 58)",-52.0,-50.0,,,-72.0,,-44.0,-67.0,,2948,"(12, 31)",-11.84996690914184
"(17, 58)",,,,-74.0,-77.0,,,-59.0,-72.0,2948,"(9, 108)",-33.204523145944854
"(17, 58)",-70.0,-67.0,-52.0,-71.0,-74.0,-70.0,-58.0,-58.0,-74.0,2948,"(12, 75)",-21.82214704189346
"(17, 58)",-60.0,-54.0,-67.0,,-65.0,-66.0,-46.0,-66.0,-79.0,2948,"(10, 50)",-19.058567253459586
"(17, 58)",-54.0,-53.0,-64.0,,-73.0,-64.0,-47.0,-62.0,-77.0,2948,"(10, 50)",-16.761805499449615
"(17, 58)",-59.0,-65.0,-66.0,,-66.0,-65.0,-46.0,,-77.0,2948,"(10, 50)",-20.897260643432208
"(17, 58)",,-51.0,-60.0,-76.0,-66.0,,-47.0,,-74.0,2948,"(13, 66)",-18.037595451043607
"(17, 58)",-64.0,-62.0,-65.0,-71.0,-81.0,-77.0,-42.0,-57.0,,2948,"(13, 52)",-22.949111985734852
"(17, 58)",-76.0,-65.0,-65.0,,-81.0,-75.0,-58.0,-58.0,-74.0,2948,"(11, 51)",-27.226314201444527
"(17, 58)",-73.0,-53.0,-68.0,,-65.0,,-49.0,-64.0,-78.0,2948,"(10, 50)",-20.820509465391584
"(17, 58)",,-64.0,-59.0,-62.0,,,-55.0,,-77.0,2948,"(11, 74)",-20.034073961214418
"(17, 58)",-59.0,-48.0,-67.0,,-67.0,-61.0,-46.0,,,2948,"(12, 30)",-16.266314048131633
"(17, 58)",-51.0,-51.0,,,-69.0,-72.0,-48.0,,-84.0,2948,"(16, 14)",-22.344480261576358
"(17, 58)",,-53.0,-70.0,-73.0,-62.0,-65.0,-48.0,,-74.0,2948,"(10, 50)",-19.611452497094323
"(17, 58)",,-59.0,-58.0,,,-70.0,-59.0,-51.0,-66.0,2948,"(9, 77)",-15.886390997887482
"(17, 58)",-69.0,-58.0,-50.0,-72.0,-76.0,,-49.0,-57.0,-69.0,2948,"(10, 68)",-17.068379364102935
"(17, 58)",-70.0,-53.0,,,,,-55.0,-53.0,-70.0,2948,"(12, 51)",-12.830503782600948
"(17, 58)",,,-55.0,,,,-50.0,-68.0,-76.0,2948,"(10, 68)",-25.49174475807538
"(17, 58)",-54.0,-44.0,-60.0,,-74.0,-63.0,-43.0,-62.0,-76.0,2948,"(14, 32)",-13.950941588828703
"(17, 58)",,-54.0,,,,,-41.0,-57.0,-73.0,2948,"(9, 68)",-12.418057273024468
"(17, 58)",-74.0,,-51.0,,-77.0,,,-57.0,-77.0,2948,"(10, 90)",-27.403076498396175
"(17, 58)",-58.0,,,,-65.0,,-48.0,-69.0,-78.0,2948,"(10, 50)",-18.740236489566037
"(17, 58)",-68.0,-63.0,-50.0,,,-77.0,-48.0,-57.0,-72.0,2948,"(10, 68)",-18.834377343986365
"(17, 58)",,,-63.0,-75.0,-76.0,,-40.0,-54.0,-79.0,2948,"(10, 68)",-26.107195387841188
"(17, 58)",-62.0,-64.0,-65.0,-68.0,-73.0,-78.0,-45.0,-52.0,-79.0,2948,"(10, 68)",-21.341298159024788
"(17, 58)",-67.0,-57.0,,-74.0,-66.0,-77.0,-39.0,-63.0,-77.0,2948,"(10, 50)",-22.503240522400393
"(17, 58)",-59.0,-58.0,-65.0,-79.0,-63.0,-70.0,-45.0,-66.0,-79.0,2948,"(10, 50)",-21.274126428750417
"(17, 58)",-56.0,-52.0,-71.0,,-61.0,-64.0,-45.0,-60.0,-81.0,2948,"(10, 50)",-16.246828677999297
"(17, 58)",-57.0,-52.0,-62.0,-81.0,-78.0,-63.0,-46.0,-63.0,-83.0,2948,"(10, 50)",-21.843714122066167
"(17, 58)",-57.0,,-59.0,-78.0,,,-44.0,,,2948,"(13, 66)",-17.479717024796834
"(17, 58)",,-60.0,-58.0,-75.0,,,-53.0,,,2948,"(13, 66)",-19.83590850963161
"(17, 58)",-58.0,-48.0,-61.0,,,-71.0,-50.0,-69.0,-84.0,2948,"(10, 50)",-19.65475529558861
"(17, 58)",-76.0,-66.0,-54.0,,-81.0,-75.0,-54.0,-51.0,-72.0,2948,"(10, 68)",-23.436767792982597
