tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label,best_tile_localization,best_Localization_value
"(17, 58)",-63.0,-51.0,-65.0,,-71.0,-66.0,-44.0,-59.0,-74.0,2948,"(10, 50)",-17.142265740347973
"(17, 58)",-72.0,,-60.0,-59.0,,-74.0,-63.0,-52.0,-74.0,2948,"(10, 92)",-22.381181922404096
"(17, 58)",-61.0,-53.0,-61.0,-78.0,-64.0,-70.0,-47.0,-68.0,-81.0,2948,"(10, 50)",-20.89109318947891
"(17, 58)",-74.0,,,-70.0,,,-52.0,-53.0,-71.0,2948,"(6, 90)",-21.053464363356692
"(17, 58)",-67.0,-50.0,-63.0,-77.0,-64.0,-66.0,-51.0,-62.0,-77.0,2948,"(10, 50)",-18.821233448015636
"(17, 58)",-71.0,-60.0,-70.0,,-63.0,-68.0,-48.0,-65.0,-78.0,2948,"(10, 50)",-23.029789144863724
"(17, 58)",-64.0,-51.0,-65.0,,-66.0,-74.0,-48.0,,-82.0,2948,"(14, 32)",-22.76391079673274
"(17, 58)",,-52.0,,,-64.0,-68.0,,-61.0,,2948,"(14, 15)",-19.18083516225661
"(17, 58)",-55.0,-48.0,-55.0,,-76.0,-68.0,-44.0,-66.0,-83.0,2948,"(10, 50)",-18.127749092119263
"(17, 58)",,-48.0,,,-62.0,,-48.0,-74.0,-81.0,2948,"(10, 50)",-19.788335920593525
"(17, 58)",-78.0,-68.0,-55.0,-70.0,,-78.0,-50.0,,-71.0,2948,"(13, 66)",-26.117447312529123
"(17, 58)",-67.0,,-73.0,,-75.0,,,-64.0,-74.0,2948,"(5, 88)",-26.81809623612873
"(17, 58)",,,,-59.0,,,-55.0,-49.0,-72.0,2948,"(9, 108)",-18.80411095711251
"(17, 58)",-61.0,-56.0,-60.0,-69.0,-74.0,,-48.0,,,2948,"(10, 50)",-16.070376197319167
"(17, 58)",-66.0,-51.0,-65.0,,-67.0,,-51.0,-61.0,-82.0,2948,"(10, 50)",-18.560730406833645
"(17, 58)",-70.0,-53.0,,-81.0,-77.0,-74.0,,,-81.0,2948,"(18, 19)",-35.98412968638072
"(17, 58)",-74.0,-53.0,-59.0,,-78.0,-73.0,-49.0,-57.0,-77.0,2948,"(10, 50)",-22.357484197287587
"(17, 58)",-64.0,-54.0,-64.0,-77.0,-66.0,-70.0,-49.0,-60.0,-74.0,2948,"(10, 50)",-19.136887227153867
"(17, 58)",-73.0,-63.0,,,-79.0,,-53.0,-55.0,,2948,"(10, 50)",-22.282915557977862
"(17, 58)",,-60.0,-54.0,-72.0,-78.0,-68.0,-56.0,-62.0,-77.0,2948,"(12, 75)",-22.752428945667557
"(17, 58)",-70.0,-63.0,,,-81.0,,-62.0,,,2948,"(11, 26)",-32.57182392296646
"(17, 58)",,-65.0,-58.0,-61.0,,,-53.0,-52.0,-72.0,2948,"(9, 91)",-16.91984953896048
"(17, 58)",-66.0,-54.0,-63.0,,,-67.0,-53.0,-64.0,-77.0,2948,"(10, 50)",-19.295474689537837
"(17, 58)",-62.0,-65.0,-54.0,-72.0,-77.0,,-45.0,-59.0,-71.0,2948,"(10, 68)",-18.793314814459382
"(17, 58)",-71.0,-63.0,-49.0,,-78.0,-77.0,-59.0,-64.0,-74.0,2948,"(14, 74)",-24.80173290839599
"(17, 58)",-68.0,,-57.0,,-67.0,-67.0,-43.0,-69.0,-75.0,2948,"(10, 68)",-21.281449865706723
"(17, 58)",-64.0,-48.0,-67.0,,-71.0,-64.0,-45.0,-62.0,-81.0,2948,"(10, 50)",-19.370211908040744
"(17, 58)",,,-67.0,,,,,-63.0,-83.0,2948,"(12, 95)",-41.099209982848556
"(17, 58)",-69.0,,,-75.0,,-73.0,,-69.0,,2948,"(11, 40)",-26.713263167258763
"(17, 58)",,-49.0,-70.0,,,,,-64.0,-77.0,2948,"(7, 89)",-21.34788931699559
"(17, 58)",-65.0,-65.0,-67.0,,,-69.0,-45.0,-67.0,-79.0,2948,"(10, 50)",-24.64807717725782
"(17, 58)",-62.0,-50.0,-69.0,,,-68.0,-55.0,-63.0,,2948,"(14, 32)",-17.852597274641994
"(17, 58)",-63.0,-60.0,-51.0,,-79.0,,-47.0,-59.0,-76.0,2948,"(10, 68)",-18.12385362987941
"(17, 58)",,-56.0,-60.0,,,-64.0,-47.0,-64.0,-83.0,2948,"(10, 68)",-21.208651756171925
"(17, 58)",-67.0,,-64.0,-71.0,-77.0,,-50.0,,-73.0,2948,"(10, 68)",-24.794390098165525
"(17, 58)",-61.0,-51.0,-68.0,-82.0,,,-48.0,-67.0,-82.0,2948,"(10, 68)",-23.463620621302244
"(17, 58)",-63.0,,,-75.0,-71.0,-68.0,-42.0,-62.0,,2948,"(9, 50)",-20.64934065839965
"(17, 58)",,-60.0,-55.0,-78.0,,,-59.0,-67.0,-78.0,2948,"(9, 78)",-26.257506948489254
"(17, 58)",-65.0,-57.0,,-77.0,,-69.0,-47.0,-62.0,-75.0,2948,"(10, 50)",-20.834739042311483
"(17, 58)",-65.0,,-65.0,-72.0,-75.0,,,-53.0,-77.0,2948,"(11, 93)",-25.70180052334218
"(17, 58)",-63.0,-52.0,-67.0,-79.0,-72.0,-67.0,,-64.0,,2948,"(13, 31)",-23.52868693143581
"(17, 58)",-57.0,-54.0,,,-66.0,-66.0,-47.0,-61.0,,2948,"(11, 30)",-14.368829769461202
"(17, 58)",,,-55.0,,,,-48.0,-61.0,-87.0,2948,"(10, 68)",-28.338454060773145
"(17, 58)",,-65.0,-53.0,-71.0,,,-58.0,-55.0,-73.0,2948,"(10, 90)",-21.194234399778175
"(17, 58)",-72.0,-61.0,,-77.0,-74.0,-75.0,-41.0,,-77.0,2948,"(10, 50)",-29.305607589498326
"(17, 58)",,,-51.0,,-79.0,,-54.0,,-75.0,2948,"(12, 75)",-27.291910958950695
"(17, 58)",-54.0,,-66.0,-80.0,-68.0,,-55.0,,,2948,"(12, 51)",-19.468752372666007
"(17, 58)",,-52.0,-71.0,-81.0,,,-45.0,-64.0,-76.0,2948,"(10, 68)",-25.32341441577414
"(17, 58)",,-55.0,,,-77.0,-69.0,-43.0,,,2948,"(10, 50)",-25.18724581215804
"(17, 58)",-62.0,-58.0,-59.0,-68.0,,-75.0,-48.0,-61.0,-77.0,2948,"(10, 68)",-19.16043182510092
"(17, 58)",-64.0,-55.0,-60.0,,-64.0,,-43.0,-60.0,-73.0,2948,"(13, 52)",-13.79593415227386
"(17, 58)",-74.0,-66.0,-48.0,-71.0,-83.0,,-64.0,-60.0,-68.0,2948,"(9, 78)",-24.997757706276673
"(17, 58)",-72.0,-66.0,-59.0,-56.0,-79.0,,-55.0,-52.0,-71.0,2948,"(8, 91)",-18.27673714782802
"(17, 58)",,,-61.0,,,,-38.0,,-75.0,2948,"(10, 68)",-27.559203151447214
"(17, 58)",-70.0,,-58.0,-69.0,-83.0,-71.0,-53.0,-55.0,-66.0,2948,"(10, 68)",-21.62857016528429
"(17, 58)",,-58.0,,,-68.0,-70.0,-46.0,-61.0,,2948,"(10, 50)",-18.725847593175256
"(17, 58)",-60.0,-50.0,-64.0,,-62.0,-69.0,-50.0,-68.0,-78.0,2948,"(14, 32)",-18.171779253002295
"(17, 58)",,-60.0,-65.0,,,,-53.0,-65.0,-72.0,2948,"(10, 68)",-21.54937204145303
"(17, 58)",-70.0,-53.0,-63.0,,-72.0,-71.0,-49.0,-68.0,-73.0,2948,"(10, 50)",-22.011018695423
"(17, 58)",,-55.0,-53.0,,-78.0,-74.0,-53.0,-51.0,-70.0,2948,"(10, 69)",-17.44298576844994
"(17, 58)",,-65.0,-52.0,,,,-63.0,,-65.0,2948,"(12, 75)",-19.085373378933813
"(17, 58)",,-51.0,-69.0,,-67.0,-74.0,-46.0,-69.0,-78.0,2948,"(10, 50)",-23.78290109765334
"(17, 58)",,-59.0,-52.0,,,-68.0,-59.0,,-78.0,2948,"(14, 74)",-20.898354129885494
"(17, 58)",-63.0,-49.0,-70.0,,-64.0,-64.0,-48.0,-63.0,-82.0,2948,"(14, 32)",-19.285808187027868
"(17, 58)",-68.0,-64.0,-59.0,-70.0,-76.0,-78.0,-46.0,-55.0,-79.0,2948,"(10, 68)",-23.481644638158112
"(17, 58)",-64.0,-66.0,-55.0,-67.0,-79.0,-75.0,-49.0,-60.0,-73.0,2948,"(10, 68)",-21.40979201598799
"(17, 58)",-65.0,-48.0,,,-69.0,,-53.0,,-78.0,2948,"(11, 29)",-21.828899856123265
"(17, 58)",-59.0,,,,-64.0,-65.0,,,-78.0,2948,"(13, 10)",-27.533325877753175
"(17, 58)",-73.0,,-54.0,,,-85.0,-52.0,-48.0,,2948,"(10, 68)",-21.685549310280543
"(17, 58)",-68.0,,-61.0,,-63.0,,-40.0,-66.0,-74.0,2948,"(10, 68)",-19.799395068271462
"(17, 58)",,-66.0,,,,,-55.0,-59.0,-68.0,2948,"(6, 70)",-18.032298985153844
"(17, 58)",-69.0,-58.0,-62.0,,,-75.0,-50.0,-52.0,-69.0,2948,"(10, 68)",-17.519137964209815
"(17, 58)",-67.0,,,,,-65.0,-47.0,-65.0,-77.0,2948,"(8, 50)",-22.324745196444468
"(17, 58)",-75.0,-57.0,-58.0,-60.0,-80.0,-73.0,-61.0,-50.0,-76.0,2948,"(6, 90)",-20.570793411040984
"(17, 58)",-74.0,-62.0,-52.0,-71.0,-82.0,-75.0,-58.0,-50.0,-62.0,2948,"(10, 77)",-20.71584821450528
"(17, 58)",-53.0,-62.0,-59.0,-73.0,-72.0,-71.0,-48.0,,-86.0,2948,"(10, 50)",-22.55014899045318
"(17, 58)",-67.0,-57.0,,-71.0,-78.0,-71.0,,,-74.0,2948,"(18, 20)",-27.98518852824344
"(17, 58)",-73.0,-60.0,,,,-76.0,-63.0,,-75.0,2948,"(14, 32)",-30.212819901584304
"(17, 58)",-75.0,-59.0,,-60.0,-78.0,-73.0,-53.0,-51.0,,2948,"(10, 50)",-18.527285816240482
"(17, 58)",-70.0,-52.0,-67.0,-81.0,-66.0,-70.0,-39.0,-59.0,-70.0,2948,"(10, 50)",-20.41094582999105
"(17, 58)",-66.0,-48.0,,,-70.0,-66.0,-51.0,-66.0,,2948,"(12, 30)",-20.239216711785545
"(17, 58)",,-50.0,-66.0,,-63.0,-72.0,-48.0,,-87.0,2948,"(10, 50)",-24.27349699981145
"(17, 58)",-69.0,-63.0,-55.0,-67.0,-78.0,,-51.0,-55.0,-70.0,2948,"(10, 68)",-18.203538500182827
"(17, 58)",-69.0,-59.0,-67.0,,,-68.0,-51.0,-70.0,-77.0,2948,"(10, 50)",-24.30902535111973
"(17, 58)",-73.0,-63.0,-58.0,-73.0,-78.0,,-47.0,,-77.0,2948,"(13, 66)",-25.70968254931286
"(17, 58)",-73.0,-65.0,-50.0,-68.0,-81.0,-84.0,-51.0,-56.0,-73.0,2948,"(12, 75)",-24.4779942910531
"(17, 58)",,,-45.0,,,,-49.0,-56.0,-75.0,2948,"(8, 87)",-19.063022701787673
"(17, 58)",,,-59.0,,,,-48.0,-61.0,-80.0,2948,"(10, 68)",-25.91678069178776
"(17, 58)",-65.0,-63.0,-48.0,,-78.0,-80.0,-48.0,-55.0,-70.0,2948,"(10, 68)",-19.594754263608195
"(17, 58)",-67.0,-59.0,-55.0,-69.0,,,-42.0,-58.0,-73.0,2948,"(10, 68)",-16.146997805843032
"(17, 58)",,-50.0,-66.0,,-63.0,-64.0,,-64.0,,2948,"(12, 30)",-18.21108652638347
"(17, 58)",,-53.0,-63.0,,,,-52.0,-62.0,-75.0,2948,"(10, 68)",-18.206532066107194
"(17, 58)",,-51.0,,-76.0,,-63.0,-50.0,,-83.0,2948,"(10, 50)",-23.47531605927947
"(17, 58)",-61.0,-62.0,-64.0,,-68.0,-70.0,,-66.0,-75.0,2948,"(13, 32)",-22.010119985201126
"(17, 58)",-54.0,,-57.0,,-76.0,-68.0,-48.0,-72.0,-81.0,2948,"(11, 67)",-22.554279212644257
"(17, 58)",,-60.0,-54.0,,,,-56.0,-49.0,-75.0,2948,"(8, 91)",-16.22212792486394
"(17, 58)",-58.0,-67.0,-66.0,-83.0,-66.0,-69.0,,-63.0,-79.0,2948,"(12, 33)",-24.23037629265306
"(17, 58)",-56.0,-55.0,-58.0,-76.0,-71.0,,-51.0,-65.0,-81.0,2948,"(13, 66)",-18.78860703844069
"(17, 58)",,-67.0,-68.0,-72.0,,-81.0,-47.0,-56.0,-78.0,2948,"(10, 68)",-27.791967904195996
"(17, 58)",-68.0,-62.0,-63.0,-70.0,,,-67.0,-58.0,-78.0,2948,"(8, 88)",-22.989539778616454
"(17, 58)",-55.0,,-63.0,,-68.0,,-52.0,,-81.0,2948,"(10, 50)",-19.23453941538289
"(17, 58)",-71.0,-57.0,-61.0,-75.0,-78.0,,,-56.0,-77.0,2948,"(10, 92)",-23.472749503859045
"(17, 58)",,-63.0,-61.0,,-79.0,-77.0,-54.0,-51.0,-74.0,2948,"(10, 68)",-23.45466939478052
"(17, 58)",-71.0,,-66.0,-80.0,-75.0,-67.0,-46.0,-58.0,,2948,"(10, 68)",-24.99533767081061
"(17, 58)",-71.0,-62.0,-57.0,-58.0,-84.0,-78.0,-57.0,-50.0,-75.0,2948,"(8, 91)",-21.400693276039593
"(17, 58)",-69.0,-53.0,-66.0,,-74.0,,-52.0,-62.0,-75.0,2948,"(13, 52)",-20.248735397653007
"(17, 58)",-68.0,-57.0,-63.0,,-63.0,-68.0,-39.0,-62.0,-73.0,2948,"(10, 50)",-18.09930142091434
"(17, 58)",,,-55.0,-62.0,,,,-50.0,-74.0,2948,"(13, 103)",-25.06780575549338
"(17, 58)",,,-59.0,,-78.0,,-44.0,-61.0,-77.0,2948,"(10, 68)",-26.52021228283742
"(17, 58)",,,,-70.0,,,,-57.0,-71.0,2948,"(7, 109)",-35.297657565968606
"(17, 58)",-65.0,,-67.0,-77.0,-68.0,,-50.0,-63.0,,2948,"(10, 68)",-21.944380856165576
"(17, 58)",-66.0,-49.0,-59.0,-79.0,-73.0,,-59.0,,-75.0,2948,"(14, 32)",-21.946535862491956
"(17, 58)",-64.0,-44.0,-69.0,,-76.0,-62.0,-48.0,-64.0,-78.0,2948,"(14, 32)",-20.646090492667003
"(17, 58)",-76.0,-58.0,,,-77.0,-71.0,-57.0,,-70.0,2948,"(14, 32)",-28.36905928527711
"(17, 58)",-53.0,-46.0,-58.0,,-78.0,-67.0,-45.0,-65.0,-79.0,2948,"(10, 50)",-16.85631427134324
"(17, 58)",-60.0,,-69.0,,-66.0,,-49.0,-68.0,-76.0,2948,"(10, 68)",-21.238087798789458
"(17, 58)",,-50.0,-63.0,-74.0,-64.0,,-46.0,-70.0,-77.0,2948,"(10, 68)",-19.986795399805604
"(17, 58)",-73.0,-62.0,-60.0,,-85.0,-75.0,-57.0,-53.0,,2948,"(10, 50)",-24.49097800145729
"(17, 58)",-66.0,-55.0,-66.0,,-69.0,-72.0,-40.0,-69.0,-80.0,2948,"(10, 50)",-23.706180539400698
"(17, 58)",-68.0,-56.0,,,-67.0,-72.0,-46.0,,,2948,"(12, 30)",-21.973648438568283
"(17, 58)",,,-50.0,,-82.0,,-53.0,-57.0,-69.0,2948,"(8, 87)",-22.949889552287118
"(17, 58)",-67.0,-53.0,,-78.0,,-71.0,,,,2948,"(18, 16)",-30.88123071163207
"(17, 58)",-70.0,-52.0,-64.0,-74.0,-68.0,-77.0,-38.0,-65.0,-73.0,2948,"(13, 52)",-21.86760362244851
"(17, 58)",-69.0,-58.0,,,-75.0,-72.0,-47.0,-61.0,-76.0,2948,"(10, 50)",-23.520381068827714
"(17, 58)",-57.0,-53.0,-57.0,,-69.0,-67.0,-48.0,-57.0,-83.0,2948,"(10, 50)",-15.995439164508566
"(17, 58)",-59.0,-57.0,,,-72.0,,,-63.0,-79.0,2948,"(15, 14)",-21.913130142726505
"(17, 58)",-67.0,-56.0,-48.0,,-83.0,-70.0,-50.0,-55.0,-70.0,2948,"(10, 68)",-17.37154990377778
"(17, 58)",-58.0,-50.0,-61.0,,-75.0,,-42.0,-66.0,-80.0,2948,"(13, 52)",-18.10647965761302
"(17, 58)",-71.0,-52.0,-64.0,,-67.0,-70.0,-38.0,-67.0,-70.0,2948,"(10, 50)",-19.806893072654237
"(17, 58)",-72.0,-60.0,-48.0,,-81.0,,-50.0,-55.0,-74.0,2948,"(12, 75)",-19.515798152422267
"(17, 58)",-68.0,-61.0,-59.0,,-78.0,-71.0,-44.0,-61.0,-78.0,2948,"(10, 50)",-23.387274244869648
"(17, 58)",-56.0,-58.0,-66.0,,-63.0,-60.0,-58.0,-67.0,-79.0,2948,"(11, 30)",-18.93547527596155
"(17, 58)",-63.0,-50.0,-62.0,,-74.0,-68.0,-57.0,-64.0,-74.0,2948,"(14, 32)",-20.010076332270216
"(17, 58)",-64.0,,-66.0,,-75.0,,-50.0,-67.0,-80.0,2948,"(10, 68)",-26.335017284806042
"(17, 58)",-66.0,-55.0,-47.0,-66.0,-79.0,-72.0,-50.0,-53.0,-67.0,2948,"(12, 75)",-15.259754352996818
"(17, 58)",-67.0,-52.0,-63.0,,-68.0,,-44.0,,,2948,"(10, 50)",-16.172014680249664
"(17, 58)",-56.0,,,,-71.0,,-44.0,-69.0,,2948,"(10, 50)",-16.492865899032676
"(17, 58)",-80.0,,-52.0,,-75.0,-76.0,-50.0,-68.0,-71.0,2948,"(10, 68)",-27.43746466449605
"(17, 58)",,-62.0,-51.0,,-80.0,-78.0,-55.0,-56.0,-76.0,2948,"(12, 75)",-24.209017150192
"(17, 58)",,-64.0,-51.0,,,,-57.0,-62.0,-78.0,2948,"(10, 77)",-22.731005365715504
"(17, 58)",-64.0,-56.0,-66.0,-72.0,-68.0,-66.0,-51.0,,-79.0,2948,"(10, 50)",-21.34554617871083
"(17, 58)",-68.0,-52.0,-66.0,,-80.0,-76.0,-53.0,-58.0,-75.0,2948,"(10, 50)",-23.05897443821462
"(17, 58)",-65.0,-54.0,-68.0,,-70.0,-65.0,-46.0,-64.0,-80.0,2948,"(10, 50)",-21.258442244773732
"(17, 58)",-63.0,-49.0,-63.0,,-67.0,,-47.0,-61.0,-76.0,2948,"(10, 50)",-14.86523262909686
"(17, 58)",-54.0,-50.0,-58.0,,-71.0,-67.0,-43.0,-70.0,-81.0,2948,"(10, 50)",-17.98033859337569
"(17, 58)",-63.0,-60.0,-64.0,,-82.0,-72.0,-45.0,-53.0,-78.0,2948,"(10, 50)",-22.30216863412442
"(17, 58)",-73.0,-59.0,-55.0,,-77.0,-79.0,-58.0,,-69.0,2948,"(10, 50)",-24.60925127759997
"(17, 58)",,-63.0,,-67.0,,,-55.0,-55.0,,2948,"(8, 70)",-14.486593835619997
"(17, 58)",-60.0,,-62.0,-79.0,-69.0,,-44.0,-58.0,-82.0,2948,"(10, 68)",-22.63348174909672
"(17, 58)",-73.0,-64.0,-65.0,-73.0,-79.0,-78.0,-38.0,,-78.0,2948,"(10, 50)",-30.11724511166827
"(17, 58)",-52.0,-47.0,,,-69.0,-68.0,,-62.0,,2948,"(16, 14)",-20.274644485549253
"(17, 58)",-72.0,-69.0,-50.0,,-78.0,,-49.0,-59.0,-72.0,2948,"(10, 68)",-21.675855075674537
"(17, 58)",,-63.0,-63.0,-69.0,-74.0,-82.0,,-54.0,,2948,"(8, 91)",-24.279673909170647
"(17, 58)",-70.0,-64.0,-61.0,,-76.0,,-42.0,-57.0,-77.0,2948,"(10, 68)",-22.266082750393267
"(17, 58)",,-65.0,-47.0,,,,,-54.0,-77.0,2948,"(10, 90)",-22.831379721001934
"(17, 58)",-65.0,-57.0,-62.0,,,-61.0,-52.0,-68.0,,2948,"(10, 48)",-16.964191428120007
"(17, 58)",,,-55.0,-60.0,-78.0,,-52.0,-50.0,-74.0,2948,"(10, 92)",-20.026949386231422
"(17, 58)",-64.0,-53.0,-64.0,-81.0,-67.0,-65.0,-45.0,-61.0,,2948,"(10, 50)",-18.63345040232963
"(17, 58)",-52.0,-52.0,-57.0,,-67.0,-70.0,-45.0,-66.0,-81.0,2948,"(10, 50)",-16.38448485134399
"(17, 58)",-63.0,-51.0,,,-67.0,-66.0,-50.0,-63.0,,2948,"(12, 30)",-17.08476364754615
"(17, 58)",-69.0,-53.0,-60.0,-71.0,-79.0,-74.0,-55.0,-62.0,,2948,"(10, 50)",-21.295508185562174
"(17, 58)",,-64.0,-50.0,-69.0,,,-49.0,-53.0,-67.0,2948,"(10, 90)",-15.266595810153863
"(17, 58)",,,-51.0,-68.0,-81.0,-74.0,-54.0,-53.0,-71.0,2948,"(8, 87)",-23.437109578929608
"(17, 58)",-68.0,,-62.0,,-78.0,-74.0,-49.0,-58.0,,2948,"(11, 67)",-23.533720921033016
"(17, 58)",-65.0,,-61.0,,-66.0,-67.0,-49.0,-66.0,-81.0,2948,"(10, 50)",-21.876779932416373
"(17, 58)",,,,-66.0,,,,-57.0,-69.0,2948,"(7, 109)",-31.590412407891588
"(17, 58)",-61.0,-52.0,-70.0,,-76.0,,-53.0,,-76.0,2948,"(14, 32)",-22.277853983285933
"(17, 58)",,,,,,-67.0,-45.0,-58.0,-75.0,2948,"(4, 68)",-21.22829514941868
"(17, 58)",,,-52.0,-72.0,,,,-50.0,-73.0,2948,"(13, 96)",-28.13401303803842
"(17, 58)",-56.0,,,,-72.0,-70.0,,-68.0,,2948,"(16, 12)",-27.342259684172735
"(17, 58)",-68.0,-60.0,-56.0,-61.0,,-73.0,-57.0,,-71.0,2948,"(12, 67)",-17.81032527932339
"(17, 58)",-54.0,-45.0,-65.0,,-68.0,-67.0,-49.0,-66.0,-83.0,2948,"(14, 32)",-18.781906268533174
"(17, 58)",-53.0,-54.0,-58.0,,-70.0,-70.0,-48.0,-69.0,-79.0,2948,"(10, 50)",-18.178909049930706
"(17, 58)",,,-62.0,,,,-40.0,-59.0,-80.0,2948,"(10, 68)",-26.133936048929964
"(17, 58)",-63.0,-57.0,-64.0,,-70.0,,,,-82.0,2948,"(14, 16)",-25.72472630078719
"(17, 58)",-71.0,-62.0,-58.0,-67.0,-74.0,,-48.0,-58.0,-78.0,2948,"(10, 68)",-20.600044395958744
"(17, 58)",-66.0,,-53.0,-81.0,-79.0,,-53.0,,-74.0,2948,"(10, 68)",-26.34890000734585
"(17, 58)",,-55.0,-58.0,-78.0,-76.0,-72.0,-54.0,-57.0,-75.0,2948,"(10, 68)",-22.335866539309603
"(17, 58)",-72.0,,-50.0,-65.0,-76.0,,-57.0,-59.0,-69.0,2948,"(8, 87)",-20.90830025351004
"(17, 58)",-65.0,-60.0,-49.0,-68.0,-79.0,-72.0,-50.0,-60.0,-82.0,2948,"(10, 68)",-21.02385395414402
"(17, 58)",-60.0,-59.0,-59.0,,-73.0,-65.0,-49.0,-67.0,-80.0,2948,"(10, 50)",-20.574673161301895
"(17, 58)",-64.0,-58.0,-63.0,-76.0,-66.0,-66.0,-41.0,-59.0,-71.0,2948,"(10, 50)",-17.79182436541437
"(17, 58)",-52.0,-53.0,-59.0,-79.0,-69.0,-69.0,,,-79.0,2948,"(16, 14)",-22.43823340393385
"(17, 58)",,,-56.0,-71.0,,,-47.0,-68.0,-75.0,2948,"(10, 68)",-24.800585730756044
"(17, 58)",-65.0,-56.0,-52.0,-69.0,,-74.0,-47.0,-63.0,-72.0,2948,"(10, 68)",-17.447417628510284
"(17, 58)",-68.0,-51.0,-59.0,,,-69.0,-50.0,-63.0,-82.0,2948,"(13, 52)",-19.86793692761331
"(17, 58)",-67.0,,-65.0,,-76.0,,-47.0,-61.0,-73.0,2948,"(10, 68)",-23.30456734403409
"(17, 58)",-67.0,-68.0,-52.0,-75.0,-78.0,,-57.0,,-73.0,2948,"(14, 74)",-24.097983833566033
"(17, 58)",-63.0,-58.0,-63.0,-68.0,-76.0,-75.0,-45.0,-52.0,-77.0,2948,"(10, 68)",-19.642652532128817
"(17, 58)",-66.0,-52.0,-65.0,,-78.0,-71.0,-51.0,-58.0,-75.0,2948,"(10, 50)",-20.830083270641353
"(17, 58)",,-48.0,-64.0,,-59.0,-67.0,,,,2948,"(14, 15)",-20.53306870294415
"(17, 58)",-71.0,-60.0,,-70.0,-83.0,-74.0,-63.0,,-78.0,2948,"(14, 32)",-30.490023739621677
